2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
97,Boise,Idaho,"228,790","205,671",+11.24%,82.1,212.6,"2,718","1,049",43°36′01″N 116°13′54″W﻿ ,United States,,,Strong-mayor,Boise City Council,Dave Bieter (D),,82.09,0.71,"709,845","2,730 ft","226,570","2,718.54",Boisean,UTC−7 (MST),UTC−6 (MDT),83701–83799,16-08830,www.cityofboise.org,,1864,"349,684","208, 986",400590,Ada,,,,,1863,,,
98,Richmond,Virginia,"228,783","204,214",+12.03%,59.8,154.9,"3,732","1,441",37°31′53″N 77°28′34″W﻿ ,United States,,"Richmond, London",,,Levar Stoney (D),,59.91,2.66,"1,263,617",166.45 ft,"227,032","3,789.30",Richmonder,UTC-5 (EST),UTC-4 (EDT),"23173, 23218–23242, 23249–23250, 23255, 23260–23261, 23269, 23273–23274, 23276, 23278–23279, 23282, 23284–23286, 23288–23295, 23297–23298",51-76000,www.ci.richmond.va.us,,,,804,1499957,None (independent city),62.57,,,,,,,
99,Baton Rouge,Louisiana,"221,599","229,493",−3.44%,85.9,222.5,"2,651","1,024",30°26′32″N 91°07′51″W﻿ ,United States,1721,,,,,79.11,85.93,2.19,"830,480",56 ft,"225,374","2,650.13",Baton Rougean,UTC−6 (CST),UTC−5 (CDT),"70801-70817, 70819-70823, 70825-70827, 70831, 70833, 70835-70837, 70874, 70879, 70883, 70884, 70892-70896, 70898",22-05000,www.brgov.com,,"January 16, 1817","594,309",225,,,,,,,1699,,,
100,Spokane,Washington,"219,190","208,916",+4.92%,68.7,177.9,"3,144","1,214",47°40′01″N 117°26′00″W﻿ ,United States,,Spokane people,Mayor-Council,Spokane City Council,David Condon (R),,68.77,0.74,"564,236","1,843 ft","217,108","3,157.15",Spokanite,UTC−8 (PST),UTC−7 (PDT),"Zip codes
99201, 99202, 99203, 99204, 99205, 99206, 99207, 99208, 99209 (PO BOX), 99210 (PO BOX), 99211 (PO BOX), 99212, 99213 (PO BOX), 99214 (PO BOX), 99215 (PO BOX), 99216, 99217, 99218, 99219 (PO BOX), 99220 (PO BOX), 99223, 99224, 99228 (PO BOX), 99251, 99252, 99256, 99258, 99260, 99299",,www.spokanecity.org,"721,873 (US: 69th)","November 29, 1881","486,225",509,1512683,Spokane,69.50,,,,1873,,,
101,Des Moines,Iowa,"216,853","203,433",+6.60%,88.9,230.2,"2,424",936,41°34′21″N 93°36′37″W﻿ ,United States,,,Council–manager government,,Frank Cownie (D),,88.92,1.73,"645,911",955 ft,"217,521","2,400",,UTC-6 (CST),UTC-5 (CDT),50301-50340-50310,19-21000,www.dmgov.org,,"September 22, 1851","450,070",515,0465961,"Polk, Warren",,,,,1843,,,
102,Tacoma,Washington,"216,279","198,397",+9.01%,49.7,128.7,"4,251","1,641",47°15′08″N 122°27′35″W﻿ ,United States,,,Council-manager,,Victoria Woodards  since 2018,,49.72,12.70,"3,939,363",243 ft,"216,279","4,292.14",Tacoman (plural: Tacomans),UTC−8 (PST),UTC−7 (PDT),"Zip codes
98001, 98002, 98071, 98092, 98401–98409, 98411–98413, 98415, 98416, 98418, 98421, 98422, 98424, 98430, 98431, 98433, 98438, 98439, 98442–98447, 98450, 98455, 98460, 98464, 98465, 98466, 98467, 98471, 98477, 98481, 98492, 98493, 98497–98499",53-70000,www.cityoftacoma.org,,"November 12, 1875",,253,1512713,Pierce,62.42,,,,,,,
103,San Bernardino,California,"215,941","209,924",+2.87%,61.5,159.3,"3,516","1,358",34°08′30″N 117°17′37″W﻿ ,United States,,Bernardino of Siena,Council-manager,,John Valdivia,,61.52,0.43,"4,224,851","1,053 ft","216,995","3,515.17",,UTC−8 (Pacific),UTC−7 (PDT),"92401–92408, 92410–92415, 92418, 92420, 92423, 92424, 92427",06-65000,sbcity.org,,"August 10, 1869",,909,"1661375, 2411777",San Bernardino,61.95,(under construction) (proposed Phase 2),,,,Andrea M. Miller,,San Bernardino International AirportSBD (Major/International)
104,Modesto,California,"215,030","201,165",+6.89%,43.0,111.4,"4,934","1,905",37°38′15″N 121°00′11″W﻿ ,United States,,The modesty of William Chapman Ralston,Council-manager,,Ted Brandvold,,42.97,1.84,"1,515",89 ft,"214,221","4,937.98",,UTC−8 (Pacific),UTC−7 (PDT),"95350–95358, 95397",06-48354,www.modestogov.com,,"August 6, 1884",,209,,Stanislaus,44.81,,,,"November 8, 1870",Joseph Lopez (Acting),,
105,Fontana,California,"213,739","196,069",+9.01%,43.0,111.4,"4,876","1,883",34°06′32″N 117°27′46″W﻿ ,United States,,,Council-Manager,,,43.02,43.02,0.00,,"1,237 ft","211,815","4,923.64",,UTC-8 (PST),UTC-7 (PDT),"92331, 92334–92337",06-24680,fontana.org,,"June 25, 1952",,"909, 951",,San Bernardino,,,,,1913,Ken Hunt,Mayor Acquanetta WarrenJohn RobertsJesus SandovalMichael TahanJesse Armendarez,
106,Santa Clarita,California,"210,089","176,320",+19.15%,52.8,136.8,"3,446","1,331",34°24′11″N 118°30′15″W﻿ ,United States,,"Santa Clara, California",Council-Manager,,Marsha McLean,,52.76,0.05,"13,155,788","1,207 ft","210,888","3,449.12",Santa Claritan,UTC−08:00 (Pacific),UTC−07:00 (PDT),"91310, 91321–91322, 91350–91351, 91354–91355, 91380–91387, 91390",06-69088,www.santa-clarita.com,,"December 15, 1987",,661,"1662338, 2411819",Los Angeles,52.81,,,,,Ken Striplin,,
107,Birmingham,Alabama,"209,880","212,237",−1.11%,146.1,378.4,"1,452",561,33°31′39″N 86°47′56″W﻿ ,United States,,"Birmingham, England, UK",Mayor–council,,Randall Woodfin (D),,146.02,2.55,"1,151,801",644 ft,"209,880","1,443.04",Birminghamian,UTC−6 (CST),UTC−5 (CDT),35201–35298,01-07000,Official website,,"December 19, 1871","749,495",205,015817,"Jefferson, Shelby",148.56,,"I-20, I-22, I-59, I-65, and I-459",,,,,
108,Oxnard,California,"209,877","197,899",+6.05%,26.9,69.7,"7,729","2,984",34°12′08″N 119°12′17″W﻿ ,United States,,Henry T. Oxnard,Council–manager,,,39.21,26.90,12.31,,52 ft,"207,906","7,728.56",,UTC−8 (Pacific),UTC−7 (PDT),93030–93036,06-54652,www.oxnard.org,,"June 30, 1903",,805,"1652766, 2411347",Ventura,,,,,,Alexander Nguyen,,Oxnard Airport (OXR)commercial service
109,Fayetteville,North Carolina,"209,468","200,564",+4.44%,147.7,382.5,"1,386",535,35°04′58″N 78°58′25″W﻿ ,United States,1783,,Council-Manager,,Mitch Colvin (D),,145.9,1.9,"386,662",263 ft,"209,889",,,UTC−5 (Eastern (EST)),UTC−4 (EDT),"28301, 28302, 28303, 28304, 28305, 28306, 28307 (Fort Bragg), 28308 (Pope AAF), 28309, 28310 (Fort Bragg), 28311, 28312, 28314,28387,28374",37-22920,Official website,"554,361 US: 82nd",,,910,1020226,Cumberland,147.7,,,,,Doug Hewett,,
110,Moreno Valley,California,"209,050","193,365",+8.11%,51.3,132.9,"4,006","1,547",33°55′24″N 117°12′21″W﻿ ,United States of America,,,Council-Manager,,,51.47,51.27,0.20,,"1,631 ft","207,226","4,041.86",,UTC−8 (Pacific),UTC−7 (PDT),92551–92557,06-49270,www.moreno-valley.ca.us,,"December 3, 1984",,"909, 951","1668251, 2411159",Riverside,,,,,,,,
111,Rochester,New York,"206,284","210,565",−2.03%,35.8,92.7,"5,835","2,253",43°10′12″N 77°37′01″W﻿ ,United States,,,Mayor-Council,,Lovely Warren (D),,35.78,1.36,"1,082,284",505 ft,"208,046","5,884.99",Rochesterian,UTC−5 (EST),UTC−4 (EDT),146xx (14604=downtown),36-63000,www.cityofrochester.gov,,,"720,572",585,0962684,Monroe,37.14,,,,1788,,"Members' List
At-Large Members• Carolee A. Conklin (D)• Dana K. Miller (D) VP• Jacklyn Ortiz (D)• Matt Haag (D)• Loretta C. Scott (D) PresidentNortheast District:•Michael A. Patterson (D)East District:• Elaine G. Spaull (D)South District:• Adam McFadden (D)Northwest District:• Carla M. Palumbo (D)",
112,Glendale,California,"201,361","191,719",+5.03%,30.4,78.7,"6,606","2,551",34°10′53″N 118°14′45″W﻿ ,United States,,,Council-Manager,,,30.56,30.43,0.13,,522 ft,"203,054","6,672.82",,UTC−8 (Pacific),UTC−7 (PDT),"91201–91210, 91214, 91221, 91222, 91224–91226",06-30000,glendaleca.gov,,"February 15, 1906",,747 and 818,"1660679, 2410597",Los Angeles,,,I-5 / I-210,SR 2 / SR 134,,Yasmin Beers,,Los Angeles International AirportLAX (Major/International)
113,Huntington Beach,California,"200,641","189,992",+5.60%,26.9,69.7,"7,459","2,880",33°41′26″N 118°00′33″W﻿ ,United States,,Henry E. Huntington,City Council/City Manager,,,32.12,26.94,5.19,,39 ft,"201,874","7,493.47",,UTC−8 (Pacific),UTC−7 (PDT),"92605, 92615, 92646–92649",06-36000,huntingtonbeachca.gov,,"February 17, 1909",,"562, 657/714","1652724, 2410811",Orange,,,,,,,,John Wayne International AirportSNA (Major/International)
114,Salt Lake City,Utah,"200,591","186,440",+7.59%,111.2,288.0,"1,742",673,40°46′37″N 111°55′52″W﻿ ,United States,,,Mayor-council,,Jackie Biskupski (D),,109.1,1.3,"1,203,978","4,226 ft","200,544","1,709.1",Salt Laker,UTC−7 (Mountain),UTC−6,"ZIP Codes
84101-84128, 84130-84134, 84136, 84138-84139, 84141, 84143-84145, 84147-84148, 84150-84152, 84157-84158, 84165, 84170-84171, 84180, 84184, 84189-84190, 84199",49-67000,Salt Lake City Government,"2,559,350 (US: 23rd)",,"1,021,243","801, 385",1454997,Salt Lake,110.4,,,,,,,
115,Grand Rapids,Michigan,"200,217","188,040",+6.48%,44.4,115.0,"4,424","1,708",42°57′40″N 85°39′20″W﻿ ,United States,,,City Commission-Manager,,Rosalynn Bliss (D),,44.43,0.88,"1,038,583",640 ft,"198,829","4,474.91",Grand Rapidian,UTC-5 (EST),UTC-4 (EDT),"49501, 49502, 49503, 49504, 49505, 49506, 49507, 49508, 49510, 49514, 49515, 49516, 49518, 49523, 49525, 49534, 49546, 49548, 49555, 49560, 49588, 49594",26-34000,www.grcity.us,"1,421,374 (US: 38th)",,"569,935",616,0627105,Kent,45.31,,,,1826,Mark Washington,,
116,Amarillo,Texas,"199,924","190,695",+4.84%,101.4,262.6,"1,968",760,35°12′00″N 101°49′49″W﻿ ,United States,,,Council-Manager,City Council,"Ginger Nelson 
(Since May 2017)",,89.8,0.5,"309,233","3,605 ft","199,248","2,100",Amarilloan,UTC−6 (CST),UTC−5 (CDT),"79101-79111, 79114, 79116-79121, 79123-79124, 79159, 79163, 79166-79168, 79171-79172, 79174, 79178, 79182, 79185, 79187, 79189",48-03000,www.amarillo.gov,,,,806,1351066,PotterRandall,90.3,,,,,,,
117,Yonkers,New York,"199,663","195,976",+1.88%,18.0,46.6,"11,156","4,307",40°56′45″N 73°52′03″W﻿ ,United States,,,Mayor-Council,Yonkers City Council,Mike Spano (D),20.30,18.01,2.28,,82 ft,"200,807","11,148.51",YonkersonianYonkersite,UTC-5 (EST),UTC-4 (EDT),"10701, 10702 (post office), 10703, 10704, 10705, 10707 (shared with Tuckahoe, NY), 10708 (shared with Bronxville, NY), 10710",36-84000,www.yonkersny.gov,,1872 (city),,914,0971828,Westchester,,,,,1646  (village),,,
118,Aurora,Illinois,"199,602","197,899",+0.86%,44.9,116.3,"4,479","1,729",41°45′49″N 88°17′24″W﻿ ,United States,1834,,Mayor–council,,Richard Irvin (R),45.77,44.89,0.88,,718 ft,"200,965","4,472.2",Auroran,UTC−6 (CST),UTC−5 (CDT),"60502–60507, 60568, 60569, 60572, 60598",,www.aurora-il.org,,1845,,"630, 331",,"DuPage, Kane, Kendall, Will",,,,,,,,
119,Montgomery,Alabama,"198,218","205,764",−3.67%,159.8,413.9,"1,252",483,32°20′50″N 86°15′58″W﻿ ,United States,,Richard Montgomery,Mayor–Council,,Todd Strange (R),,159.79,2.39,"373,903",240 ft,"199,518","1,248.60",,UTC−6 (CST),UTC−5 (CDT),"36013, 36043, 36064, 36104, 36105, 36106, 36107, 36108, 36109, 36110, 36111, 36112, 36113, 36115, 36116, 36117",01-51000,montgomeryal.gov,,"December 3, 1819","263,907",334,0165344,Montgomery,,,,,,,,
120,Akron,Ohio,"198,006","199,110",−0.55%,62.0,160.6,"3,188","1,231",41°04′50″N 81°31′17″W﻿ ,United States,,,Strong Mayor–council,,Dan Horrigan (D),,62.03,0.34,"705,686","1,004 ft","197,846","3,209.9",Akronite,UTC-5 (Eastern (EST)),UTC-4 (EDT),"44301-44321, 44325, 44326, 44328, 44333, 44334, 44372, 44396, 44398",39-01000,akronohio.gov,,1836 (village),"569,499","234, 330",1064305,Summit,62.37,,,,1825,,,
121,Little Rock,Arkansas,"197,881","193,524",+2.25%,118.7,307.4,"1,673",646,34°43′31″N 92°21′31″W﻿ ,United States,,"French: La Petite Roche (The ""Little Rock"")",Council-manager,,Frank Scott Jr. (D),,119.22,2.80,"4,090.34",335 ft,"198,606","1,665.93",Little Rocker,UTC-6 (CST),UTC-5 (CDT),"72002, 72103, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227",05-41000,www.littlerock.gov,,"November 7, 1831","431,388",501,0083350,Pulaski,,,,,"June 1, 1821",,,
122,Huntsville,Alabama,"197,318","180,105",+9.56%,213.4,552.7,905,349,34°41′56″N 86°40′23″W﻿ ,United States,,John Hunt,Mayor–Council,,Tommy Battle (R),,213.36,1.34,"455,458",600 ft,"194,585",912.01,Huntsvillian,UTC−6 (CST),UTC−5 (CDT),"35649, 35749, 35748, 35754, 35756, 35757, 35671, 35741, 35762, 35763, 35773, 35801–35816, 35824, 35893-35899",01-37000,www.huntsvilleal.gov,,"December 9, 1811","286,692","256, 938",0151827,"Madison, Limestone, Morgan",214.70,,,,,,,
123,Augusta,Georgia,"196,939","195,844",+0.56%,302.5,783.5,652,252,33°21′56″N 82°04′24″W﻿ ,United States,,,,,Hardie Davis,,302.1,4.3,"600,151",136 ft,"197,166",654.2,,UTC-5 (EST),UTC-4 (EDT),"30901, 30904, 30906, 30907, 30909, 30912, 30815",,AugustaGA.gov,,,259.52,"706, 762",,Richmond,,,,,,,,
124,Port St Lucie,Florida,"195,248","164,603",+18.62%,118.9,307.9,"1,557",601,27°16′50″N 80°23′18″W﻿ ,United States,,,,,Greg Oravec,,118.89,1.62,"438,095",16 ft,"185,132","1,557.18",,UTC−5 (Eastern (EST)),UTC−4 (EDT),,12-58715,www.cityofpsl.com,,1961,"376,047",,0308089,St. Lucie,120.51,,,,,,,
125,Grand Prairie,Texas,"194,614","175,396",+10.96%,72.3,187.3,"2,637","1,018",32°41′13″N 97°01′16″W﻿ ,United States,,,Council-Manager,,,,72.105,8.986,"6,810,913",515 ft,"183,372","2,433",Grand Prairian,UTC-6 (CST),UTC-5 (CDT),75050-75054,48-30464,www.gptx.org,,,"5,121,892","972, 214, 469, 817",1336802,"Dallas, Tarrant, Ellis",81.091,,,,,Tom Hart,Mayor Ron JensenRichard FregoeJeff WooldridgeGreg GiessnerCole HumphreysJim SwaffordJorja ClemsonMike Del Bosque,
126,Columbus,Georgia,"194,160","189,885",+2.25%,216.4,560.5,913,353,32°30′37″N 84°52′30″W﻿ ,United States,,Christopher Columbus,,,"B. H. ""Skip"" Henderson III (R)",220.8,216.1,4.7,,243 ft,"194,058",861,,UTC−5 (EST),UTC−4 (EDT),"31820, 31829, 31900-09, 31914, 31917, 31993-94, 31997-99",13-19007,City of Columbus,"499,128 (91st)",,,"706, 762",0331158,Muscogee,,,,,1828,Isaiah Hugley,,
127,Tallahassee,Florida,"193,551","181,376",+6.71%,100.4,260.0,"1,901",734,30°27′18″N 84°15′12″W﻿ ,United States,,,Commission–Manager,,John Dailey (D),103.63,100.42,3.21,"385,145",203 ft,"191,049","1,900.94",,UTC−5 (Eastern (EST)),UTC−4 (EDT),32300–32399,12-70600,www.talgov.com,,,"240,223",850,0308416,Leon,,,,,,,,
128,Overland Park,Kansas,"192,536","173,372",+11.05%,75.1,194.5,"2,516",971,38°53′20″N 94°41′26″W﻿ ,United States,,,,,Carl R. Gerlach,75.6,74.84,0.53,,"1,086 ft","191,278","2,300",,UTC-6 (CST),UTC-5 (CDT),,20-53775,opkansas.org,,1960,,913,,Johnson,,,,,,,,
129,Tempe,Arizona,"192,364","161,719",+18.95%,40.0,103.6,"4,562","1,761",33°23′18″N 111°55′54″W﻿ ,United States,,,,,Mark Mitchell (D),,39.97,0.26,"4,574,531","1,140–1,495 ft","185,038","4,566.33",,UTC−7 (MST (no DST)),,"85281, 85282, 85283, 85284, 85285, 85287",04-73000,www.tempe.gov,,"October 15, 1892",,480 and 602,,Maricopa,40.23,,,,,,,
130,McKinney,Texas,"191,645","131,117",+46.16%,63.0,163.2,"2,735","1,056",33°11′55″N 96°40′05″W﻿ ,United States,,,council-manager,,George Fuller,62.9,62.2,0.7,,630 ft,,"2,494",McKinnian,UTC−6 (CST),UTC−5 (CDT),75069-75072,48-45744,www.mckinneytexas.org,,1848,,214/469/972,1341241,Collin,,,,,,,"Members
 District 1: La'Shadion Shemwell
  District 2: Rainey Rogers
  District 3: Scott Elliott
  District 4: Chuck Branch
  At-large: Charlie Philips
  At-large: Tracy Rath",
131,Mobile,Alabama,"189,572","195,111",−2.84%,139.4,361.0,"1,384",534,30°40′06″N 88°06′01″W﻿ ,United States,,,Mayor–council,,Sandy Stimpson (R),,139.40,40.66,"1,644",10 ft,"190,265","1,364.91",Mobilian,UTC−6 (CST),UTC−5 (CDT),"Zip codes
36601-36612, 36615-36619, 36625, 36628, 36630, 36633, 36640-36641, 36644, 36652, 36660, 36663, 36670-36671, 36675, 36685, 36688-36689, 36691, 36693, 36695",01-50000,City of Mobile,"619,104 (US: 79th)","January 20, 1814",222.8,251,0155153,Mobile,180.06,,,,1702,,,
132,Cape Coral,Florida,"189,343","154,305",+22.71%,105.6,273.5,"1,703",658,26°38′36″N 81°59′51″W﻿ ,United States,,,Council-Manager,,Joe Coviello,,105.77,13.42,"645,899",5 ft,"183,365","1,733.55",,UTC−05:00 (EST),UTC−04:00 (EDT),"33904, 33909, 33914, 33990, 33991, 33993",12-10275,www.capecoral.net,,1970,,239,0279997,Lee,119.20,,,,1957,,,
133,Shreveport,Louisiana,"188,987","199,311",−5.18%,107.1,277.4,"1,820",700,32°28′01″N 93°47′32″W﻿ ,United States,,Captain Henry Miller Shreve,,,Adrian Perkins (D),,107.14,15.21,"2,698",154to253 ft,"192,036","1,819.35",Shreveporter,UTC−6 (CST),UTC−5 (CDT),,22-70000,shreveportla.gov,,"March 20, 1839","298,317",318,,,122.35,,,,1836,,"Members list
Chair: James Flurry (R)Dist A: Willie Bradford (D)Dist B: LeVette Fuller (D)Dist C: John Nickelson (R)Dist D: Grayson Boucher (R)Dist E: James Flurry (R)Dist F: James E. Green (D)Dist G: Jerry Bowman (D)",
134,Frisco,Texas,"188,170","116,989",+60.84%,67.7,175.3,"2,417",933,33°09′19″N 96°49′21″W﻿ ,United States,,,Council-manager,,,62.4,61.8,0.6,,774 ft,"186,087","2,720",,UTC-6 (CST),UTC-5 (CDT),"75033-75036, 75068, 75071",48-27684,www.friscotexas.gov,,,,972/469/214,1336263,"Collin, Denton",,,,,,George Purefoy,Mayor Jeff CheneyShona HuffmanJohn KeatingWill SowellTim H. NelsonBill WoodardBrian Livingston,
135,Knoxville,Tennessee,"187,500","178,874",+4.82%,98.5,255.1,"1,891",730,35°58′15″N 83°56′57″W﻿ ,United States,1786,Henry Knox,Mayor–council,,Madeline Rogero (D),,98.5,5.6,"868,546",886 ft,"187,500","1,816",Knoxvillian,UTC−5 (EST),UTC−4 (EDT),,47-40000,www.knoxvilletn.gov,"1,096,961 (US: 50th)",1815,"558,696",865,1648562,Knox,104.2,,,,1791,,"Council Members
Stephanie Welch (1st Dist.)Andrew Roberto (2nd Dist.)Seema Singh-Perez (3rd Dist.)Lauren Rider (4th Dist.)Mark Campen (5th Dist.)Gwen McKenzie (6th Dist.)George Wallace (At-Large Seat A)Marshall Stair (At-Large Seat B)Finbarr Saunders (At-Large Seat C; also Vice Mayor)",
136,Worcester,Massachusetts,"185,877","181,045",+2.67%,37.4,96.9,"4,933","1,905",42°16′10″N 71°48′28″W﻿ ,United States,1673,,Council-manager,,Joseph Petty (D),,37.6,1.0,"923,672",480 ft,"185,877","4,700",,UTC-5 (Eastern),UTC-4 (Eastern),"01601–01610, 01612–01615, 01653–01655",,www.worcesterma.gov,,,,508 / 774,0617867,Worcester,38.6,,,,,Edward M. Augustus Jr. (D),,
137,Brownsville,Texas,"183,392","175,023",+4.78%,132.5,343.2,"1,387",536,25°59′57″N 97°27′18″W﻿ ,United States,,Jacob Brown,Council-Manager,,Vacant,,81.528,3.339,370.58,33 ft,"189,592",,Brownsvillian,UTC-6 (CST),UTC-5 (CDT),"78520, 78521, 78522, 78523, 78526",48-10768,www.cob.us,"444,059 (US: 93rd)","February 7, 1853","217,585",956,1372749,Cameron,84.867,,,,1848,,"Members list
Cesar de LeonRose M. Z. GowenRicardo Longoria, Jr.Jessica Tetreau-KalifaJoel MunguiaBen Neece",
138,Vancouver,Washington,"183,012","161,791",+13.12%,46.9,121.5,"3,728","1,439",45°38′06″N 122°35′45″W﻿ ,United States,,George Vancouver,Council/Manager,,Anne McEnerny-Ogle,,48.69,3.70,"2,389,228",171 ft,"175,673","3,608.06",,UTC−8 (Pacific),UTC−7 (PDT),,53-74060,City of Vancouver,,1857,,360,1531916,Clark,52.39,,,,1825,,,
139,Fort Lauderdale,Florida,"182,595","165,521",+10.32%,34.6,89.6,"5,166","1,995",26°08′28″N 80°08′48″W﻿ ,United States,,,Commission-Manager,,Dean Trantalis (D),,34.62,1.69,"5,762,717",9 ft,"180,072","5,162.81",,UTC−5 (Eastern (EST)),UTC−4 (EDT),"33301, 33304-33306, 33308-33309, 33312-33313, 33315-33316, 33334, 33394",12-24000,www.fortlauderdale.gov,,,,"754, 954",0282693,Broward,36.31,,,,,Christopher Lagerbloom,,
140,Sioux Falls,South Dakota,"181,883","153,888",+18.19%,75.4,195.3,"2,312",893,43°32′18″N 96°43′55″W﻿ ,United States,,,,,Paul Ten Haken,,72.96,0.51,"265,653","1,470 ft","187,200","2,109.2",,UTC−6 (Central),UTC−5 (Central),"Zip codes
57101, 57103-57110, 57117-57118, 57186, 57188-57189, 57192-57193, 57197-57198",46-59020,www.siouxfalls.org,,,"156,777",605,1267670,"Minnehaha, Lincoln",73.47,,,,,,,
141,Ontario,California,"181,107","163,924",+10.48%,49.9,129.2,"3,471","1,340",34°02′22″N 117°36′15″W﻿ ,United States,,"Ontario, Canada",City Council / City Manager,,,49.99,49.93,0.06,,"1,004 ft","175,841","3,521.75",,UTC−8 (Pacific),UTC−7 (PDT),"91758, 91761, 91762, 91764",06-53896,www.ontarioca.gov,,"December 10, 1891",,909,"1652764, 2411323",San Bernardino,,,,,,Scott Ochoa,Mayor Paul S. LeonMayor Pro Tem Ruben Valencia Alan D. WapnerJim W. BowmanDebra Dorst-Porada,Ontario International AirportONT (Major/International)
142,Chattanooga,Tennessee,"180,557","167,674",+7.68%,143.1,370.6,"1,241",479,35°03′58″N 85°14′54″W﻿ ,United States,,,Mayor-council,,Andy Berke (D),,137.1,7.4,"547,776",676 ft,"180,557","1,295",Chattanoogan,UTC-5 (EST),UTC-4 (EDT),"37341, 37343, 37350, 37351, 37363, 37377, 37379, 37402, 37403, 37404, 37405, 37406, 37407, 37408, 37409, 37410, 37411, 37412, 37415, 37416, 37419, and 37421",47-14000,www.chattanooga.gov,,1839,,423,1307240,Hamilton,144.6,,,,,,,
143,Providence,Rhode Island,"179,335","178,042",+0.73%,18.4,47.7,"9,740","3,760",41°49′23″N 71°25′08″W﻿ ,United States,1636,,Mayor-Council,Providence City Council,Jorge Elorza (D),,482,62,"1,604,291",23 m,"180,393","3,736.02",,UTC−5 (Eastern Time Zone),UTC−4 (EDT),"02901–02912, 02918, 02919, 02940",44-59000,www.providenceri.com,,June 1636,"1,190,956",401,1219851,Providence,,,,,,,,
144,Newport News,Virginia,"178,626","180,719",−1.16%,69.1,179.0,"2,631","1,016",37°04′34″N 76°31′19″W﻿ ,United States,1619,,,,McKinley L. Price (I),,69.12,50.55,"1,672,319",15 ft,"179,388","2,595.35",,UTC−5 (EST),UTC−4 (EDT),23601-23609,51-56000,www.nnva.gov,,1896 (1896),"1,439,666",757,1497043,,,,,,,,,
145,Rancho Cucamonga,California,"177,751","165,269",+7.55%,40.0,103.6,"4,413","1,704",34°07′24″N 117°33′51″W﻿ ,United States,,,Council-Manager,,,40.00,39.99,0.01,,"1,207 ft","177,452","4,414.90",,UTC−8 (PST),UTC−7 (PDT),,06-59451,www.cityofrc.us,,"November 30, 1977",,909,1667908,San Bernardino,,,,,,John Gillison,,
146,Santa Rosa,California,"177,586","167,815",+5.82%,41.3,107.0,"4,241","1,637",38°26′48″N 122°42′22″W﻿ ,United States,,,Council-Manager,,Tom Schwedhelm,,41.29,0.20,,164 ft,"175,155","4,241.86",,UTC−8 (Pacific),UTC−7 (PDT),"95401–95407, 95409",06-70098,ci.santa-rosa.ca.us,,"March 26, 1868",,707,"249105, 1659601",Sonoma,41.50,,,,,Sean McGlynn,,
147,Oceanside,California,"176,080","167,086",+5.38%,41.3,107.0,"4,249","1,641",33°13′28″N 117°18′22″W﻿ ,United States of America,,,Council-manager,,,42.18,41.25,0.92,,66 ft,"176,193","4,271.35",OceansiderO’sider,UTC−8 (Pacific),UTC−7 (PDT),"92049, 92051, 92052, 92054, 92056–92058",06-53322,www.ci.oceanside.ca.us,,"July 3, 1888",,442/760,"1652761, 2411301",San Diego,,,,,,,,John Wayne International Airport (SNA)San Diego International Airport (SAN)
148,Salem,Oregon,"173,442","154,637",+12.16%,48.6,125.9,"3,445","1,330",44°55′25″N 123°01′24″W﻿ ,United States,,,City Council – City Manager,,Chuck Bennett (D),,47.90,0.55,"400,408",154 ft,"167,419","3,228.3",Salemite,UTC−8 (PST),UTC−7 (PDT),,41-64900,cityofsalem.net,,,"236,632",503 and 971,1167861,"Marion, Polk",48.45,,,,1842,Steve Powers,,
149,Elk Grove,California,"172,886","153,015",+12.99%,42.2,109.3,"4,022","1,553",38°24′53″N 121°23′06″W﻿ ,United States,,,Council/Manager,,Steve Ly (directly elected),42.24,42.20,0.05,,46 ft,"169,743","4,022.73",,UTC-8 (Pacific),UTC-7 (PDT),"95624, 95757–95759",06-22020,elkgrovecity.org,,"July 1, 2000",,916,"277506, 2410425",Sacramento,,,,,,,,
150,Garden Grove,California,"172,646","170,883",+1.03%,18.0,46.6,"9,714","3,751",33°46′44″N 117°57′38″W﻿ ,United States of America,,,Council-manager,,Steven R. Jones,17.98,17.96,0.02,,89 ft,"174,858","9,737.60",,UTC-8 (Pacific),UTC-7 (PDT),92840–92846,06-29000,www.ggcity.org,,"June 18, 1956",,657/714,"1660662, 2410568",Orange,,,,,1874,,,
